S_0,expEuler_trunc,impEuler_trunc,CN_trunc,ADE_trunc,BT
118.5,1.9506e+73,0.0799909,0.0782437,0.0867301,0.079326
120,-70,0.0728857,0.0712049,0.0798681,0.0726873
121.5,5.43173e+73,0.0663591,0.0647489,0.073528,0.0663067
123,-73,0.0603551,0.0588193,0.0676532,0.0608095
124.5,1.37885e+74,0.0548229,0.0533645,0.0621926,0.0554724
126,-76,0.0497158,0.0483375,0.0570996,0.0509323
127.5,3.19021e+74,0.0449916,0.0436955,0.0523318,0.0464547
129,-79,0.0406115,0.0393994,0.0478506,0.0427051
130.5,6.71708e+74,0.0365402,0.0354134,0.0436208,0.0390196
132,-82,0.0327452,0.0317049,0.0396104,0.0358394
133.5,1.28115e+75,0.029197,0.0282438,0.0357899,0.0328165
135,-85,0.0258681,0.0250027,0.0321327,0.0300984
136.5,2.18876e+75,0.0227338,0.0219563,0.0286142,0.0276264
138,-88,0.0197708,0.0190815,0.0252117,0.0252898
139.5,3.26825e+75,0.0169581,0.0163568,0.0219046,0.0232725
141,-91,0.0142761,0.0137625,0.018674,0.0212769
142.5,4.05182e+75,0.0117066,0.0112803,0.0155022,0.0196118
144,-94,0.00923289,0.00889338,0.012373,0.0179912
145.5,3.70402e+75,0.00683938,0.00658599,0.00927158,0.0165269
147,-97,0.00451158,0.00434355,0.00618402,0.0152141
148.5,1.57563e+75,0.00223599,0.00215245,0.00309747,0.0139254
150,0,0,0,0,0.0128616
